CID,superclass,predicted_class
58412841,Phenylpropanoids and polyketides,-1
101514421,Phenylpropanoids and polyketides,-1
106960261,Organic nitrogen compounds,-1
269368,Lipids and lipid-like molecules,-1
92118432,Organic oxygen compounds,-1
131805834,Lipids and lipid-like molecules,2
89212794,Lipids and lipid-like molecules,-1
19852495,Phenylpropanoids and polyketides,-1
59219642,"Lignans, neolignans and related compounds",3
89391834,"Lignans, neolignans and related compounds",3
99771204,Lipids and lipid-like molecules,-1
82970129,Organosulfur compounds,-1
19124734,Phenylpropanoids and polyketides,-1
91855561,Organic oxygen compounds,-1
80792592,Organic nitrogen compounds,-1
60685613,Organic nitrogen compounds,-1
10460622,Organic oxygen compounds,-1
10950268,Lipids and lipid-like molecules,-1
92220910,Organic nitrogen compounds,-1
21730076,Lipids and lipid-like molecules,-1
62847870,Organic nitrogen compounds,-1
5094538,Organic oxygen compounds,-1
87218298,Organic oxygen compounds,-1
28588108,Lipids and lipid-like molecules,-1
80229307,Organic nitrogen compounds,-1
46842939,Organic oxygen compounds,5
23558284,Organic oxygen compounds,-1
107495117,Organic nitrogen compounds,-1
57065055,Lipids and lipid-like molecules,-1
80834822,"Organic 1,3-dipolar compounds",-1
105416601,Organic nitrogen compounds,-1
70271559,Organic oxygen compounds,-1
13827180,Organosulfur compounds,-1
21427976,Phenylpropanoids and polyketides,11
88873392,Organic nitrogen compounds,3
105644629,Lipids and lipid-like molecules,-1
70860659,Phenylpropanoids and polyketides,-1
101484619,Lipids and lipid-like molecules,-1
10793787,Lipids and lipid-like molecules,-1
131822573,Lipids and lipid-like molecules,2
7036148,Organic oxygen compounds,-1
21457662,Organic oxygen compounds,-1
63461893,Lipids and lipid-like molecules,-1
79861888,Organic nitrogen compounds,-1
11556608,Lipids and lipid-like molecules,-1
57265367,Organosulfur compounds,-1
11955671,Phenylpropanoids and polyketides,-1
93717049,Phenylpropanoids and polyketides,-1
57508518,Lipids and lipid-like molecules,2
108346469,Organosulfur compounds,-1
81964185,Phenylpropanoids and polyketides,-1
17979301,Organic oxygen compounds,-1
91108817,Phenylpropanoids and polyketides,-1
91176196,Phenylpropanoids and polyketides,-1
10509947,Lipids and lipid-like molecules,-1
54358723,Organic oxygen compounds,-1
101976936,Lipids and lipid-like molecules,13
107527226,Organic nitrogen compounds,-1
44616910,Phenylpropanoids and polyketides,-1
10391907,Phenylpropanoids and polyketides,-1
58774262,Organic oxygen compounds,-1
51703473,Phenylpropanoids and polyketides,-1
59886213,Organic oxygen compounds,5
109931760,Organic nitrogen compounds,-1
6204052,Organic nitrogen compounds,-1
63717630,Organic nitrogen compounds,-1
108131454,"Organic 1,3-dipolar compounds",-1
22034582,Organic oxygen compounds,-1
69590094,Phenylpropanoids and polyketides,-1
59260047,Organic nitrogen compounds,3
100788107,Organic nitrogen compounds,-1
7528876,Lipids and lipid-like molecules,-1
56672948,Organic oxygen compounds,-1
131815744,Lipids and lipid-like molecules,2
87587331,Lipids and lipid-like molecules,-1
57240034,"Lignans, neolignans and related compounds",-1
46241531,"Nucleosides, nucleotides, and analogues",-1
72156016,Phenylpropanoids and polyketides,-1
91158266,Phenylpropanoids and polyketides,-1
79227172,Organosulfur compounds,-1
22546393,Organic oxygen compounds,-1
45482924,Phenylpropanoids and polyketides,-1
43779173,Organic nitrogen compounds,-1
88646754,Lipids and lipid-like molecules,2
87311102,Lipids and lipid-like molecules,-1
59249578,Phenylpropanoids and polyketides,-1
91860228,Organic oxygen compounds,-1
40446423,Organic nitrogen compounds,-1
79335466,Phenylpropanoids and polyketides,-1
49769362,"Nucleosides, nucleotides, and analogues",-1
11152115,Lipids and lipid-like molecules,-1
40809874,"Organic 1,3-dipolar compounds",-1
131812684,Lipids and lipid-like molecules,2
1791860,Lipids and lipid-like molecules,-1
57865469,"Lignans, neolignans and related compounds",3
110135026,Lipids and lipid-like molecules,-1
331347,Lipids and lipid-like molecules,-1
87770296,Organic nitrogen compounds,-1
71490225,Phenylpropanoids and polyketides,-1
4085472,Phenylpropanoids and polyketides,-1
103848698,Phenylpropanoids and polyketides,-1
89869866,Phenylpropanoids and polyketides,-1
88543481,Organic oxygen compounds,-1
65188297,Organic nitrogen compounds,-1
44889591,Phenylpropanoids and polyketides,-1
81160109,Organosulfur compounds,-1
106643243,"Organic 1,3-dipolar compounds",-1
99638084,Phenylpropanoids and polyketides,-1
6732247,Phenylpropanoids and polyketides,-1
106091385,Organic nitrogen compounds,-1
52915029,Lipids and lipid-like molecules,-1
64820151,Organosulfur compounds,-1
113716332,Organic nitrogen compounds,-1
64085357,Organic nitrogen compounds,-1
20143083,Organic oxygen compounds,-1
52688762,Phenylpropanoids and polyketides,-1
87077473,Organosulfur compounds,2
89950629,Organic nitrogen compounds,-1
58174970,"Lignans, neolignans and related compounds",3
90721213,Phenylpropanoids and polyketides,-1
43481750,Phenylpropanoids and polyketides,-1
86127859,Lipids and lipid-like molecules,2
105187090,Organic oxygen compounds,-1
53640032,Hydrocarbons,-1
89364795,Lipids and lipid-like molecules,-1
10438169,Organic oxygen compounds,-1
98165807,Organic oxygen compounds,-1
87311799,Organic oxygen compounds,-1
42977674,Organic oxygen compounds,-1
11887510,Alkaloids and derivatives,-1
88531680,Organic oxygen compounds,-1
113652237,Organic nitrogen compounds,-1
107481186,Organic oxygen compounds,-1
24093262,Phenylpropanoids and polyketides,-1
92957638,Lipids and lipid-like molecules,-1
69866955,Phenylpropanoids and polyketides,-1
111440396,Organic nitrogen compounds,-1
89144552,"Lignans, neolignans and related compounds",3
102115027,Organic nitrogen compounds,-1
102038164,Organic oxygen compounds,-1
11791913,Organic oxygen compounds,-1
87659205,Alkaloids and derivatives,-1
79864222,Organic nitrogen compounds,-1
6648724,Phenylpropanoids and polyketides,-1
65820183,Lipids and lipid-like molecules,-1
91223367,Organic oxygen compounds,-1
106114575,Organic nitrogen compounds,-1
105386729,Organic nitrogen compounds,-1
64351869,Organic nitrogen compounds,-1
46184558,Lipids and lipid-like molecules,-1
113944911,Phenylpropanoids and polyketides,-1
71079660,Organic nitrogen compounds,-1
70011031,Lipids and lipid-like molecules,5
87323472,Organic oxygen compounds,-1
66715333,Lipids and lipid-like molecules,-1
53326323,Lipids and lipid-like molecules,-1
131814578,Lipids and lipid-like molecules,2
89809493,Organic nitrogen compounds,-1
131806578,Lipids and lipid-like molecules,2
87250908,Organic oxygen compounds,-1
56939047,Lipids and lipid-like molecules,2
59521072,Lipids and lipid-like molecules,-1
103262076,Organic oxygen compounds,-1
59782172,Organic nitrogen compounds,-1
8113637,Organic oxygen compounds,-1
57642153,"Nucleosides, nucleotides, and analogues",-1
114830392,Organic nitrogen compounds,-1
71680255,Alkaloids and derivatives,-1
69760570,Phenylpropanoids and polyketides,-1
72591146,Lipids and lipid-like molecules,-1
88264811,Lipids and lipid-like molecules,-1
8277725,Organosulfur compounds,-1
91860660,Organic oxygen compounds,5
87103115,Organic oxygen compounds,-1
50908285,Phenylpropanoids and polyketides,-1
10219105,"Nucleosides, nucleotides, and analogues",-1
19123173,Phenylpropanoids and polyketides,7
3607042,Phenylpropanoids and polyketides,-1
64803016,Organic nitrogen compounds,-1
6235967,Phenylpropanoids and polyketides,-1
101410211,Organic oxygen compounds,5
68904309,Lipids and lipid-like molecules,-1
88866957,Phenylpropanoids and polyketides,-1
13063792,Organic oxygen compounds,-1
6341834,Organic oxygen compounds,-1
10073596,Organic oxygen compounds,-1
112624028,Organic nitrogen compounds,-1
87721154,Phenylpropanoids and polyketides,-1
251195,Organic oxygen compounds,-1
3447165,Phenylpropanoids and polyketides,-1
19396315,Organic oxygen compounds,-1
309530,Organic oxygen compounds,-1
20822046,"Lignans, neolignans and related compounds",3
63863816,Lipids and lipid-like molecules,-1
136727693,"Nucleosides, nucleotides, and analogues",-1
63506623,Lipids and lipid-like molecules,-1
64039238,"Organic 1,3-dipolar compounds",-1
109724805,Organic nitrogen compounds,-1
23756045,Phenylpropanoids and polyketides,-1
99634587,Organic nitrogen compounds,-1
59582955,"Lignans, neolignans and related compounds",3
131821312,Lipids and lipid-like molecules,2
20422763,Lipids and lipid-like molecules,-1
57553450,Organic oxygen compounds,-1
78323259,Organic oxygen compounds,-1
71588763,Phenylpropanoids and polyketides,-1
89270922,Organic oxygen compounds,-1
101312041,Organophosphorus compounds,-1
6661372,Phenylpropanoids and polyketides,1
89711797,Organic nitrogen compounds,3
25671381,Phenylpropanoids and polyketides,-1
44616875,Phenylpropanoids and polyketides,-1
7133903,Organic oxygen compounds,-1
89712197,Phenylpropanoids and polyketides,3
2610928,Phenylpropanoids and polyketides,-1
19846987,Phenylpropanoids and polyketides,-1
