cid	smiles	frag_id2smiles	frag_id2neighbors	frag_id2mol_inx
"107165766"	"CC1(CC1)CNCCCC2=CC=CC=C2"	{"1": "CC", "2": "CC", "3": "CN", "4": "CN", "5": "CC", "6": "CC", "7": "CC", "8": "C1CC1", "9": "C1=CC=CC=C1", "10": "C"}	{"1": [10], "2": [3, 10], "3": [2, 4], "4": [3, 5], "5": [4, 6], "6": [5, 7], "7": [6, 9], "8": [10], "9": [7], "10": [1, 2, 8]}	{"1": [0, 1], "2": [1, 4], "3": [4, 5], "4": [5, 6], "5": [6, 7], "6": [7, 8], "7": [8, 9], "8": [2, 1, 3], "9": [10, 11, 12, 13, 14, 9], "10": [1]}
"13045226"	"CCCC1=CC(=NC2=NC=CN12)CCC"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "CC", "7": "C1=CNCN=C1", "8": "C1=C[NH]C=N1"}	{"1": [2], "2": [1, 3], "3": [2, 7], "4": [5, 7], "5": [4, 6], "6": [5], "7": [3, 4, 8], "8": [7]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [5, 12], "5": [12, 13], "6": [13, 14], "7": [3, 11, 7, 6, 5, 4], "8": [8, 7, 11, 10, 9]}
"71563565"	"CC(=O)C1=CC=CC(=C1)C2=NN=C(O2)N"	{"1": "CC", "2": "C=O", "3": "CC", "4": "CC", "5": "CN", "6": "C1=CC=CC=C1", "7": "C1=NN=CO1", "8": "C"}	{"1": [8], "2": [8], "3": [6, 8], "4": [6, 7], "5": [7], "6": [3, 4], "7": [4, 5], "8": [1, 2, 3]}	{"1": [0, 1], "2": [1, 2], "3": [1, 3], "4": [7, 9], "5": [12, 14], "6": [3, 8, 7, 6, 5, 4], "7": [10, 9, 13, 12, 11], "8": [1]}
"131048163"	"CC1(CCN(CCS1=O)CC=O)C"	{"1": "CC", "2": "O=S", "3": "CN", "4": "CC", "5": "C=O", "6": "CC", "7": "C1CNCCSC1", "8": "C"}	{"1": [8], "2": [7], "3": [4, 7], "4": [3, 5], "5": [4], "6": [8], "7": [2, 3, 8], "8": [1, 6, 7]}	{"1": [0, 1], "2": [7, 8], "3": [4, 9], "4": [9, 10], "5": [10, 11], "6": [1, 12], "7": [1, 2, 3, 4, 5, 6, 7], "8": [1]}
"122642237"	"CC=CN1C(=O)N(N=N1)C2=CC=CC=N2"	{"1": "CC", "2": "C=C", "3": "CN", "4": "C=O", "5": "CN", "6": "C1NN=NN1", "7": "C1=CC=NC=C1"}	{"1": [2], "2": [1, 3], "3": [2, 6], "4": [6], "5": [6, 7], "6": [3, 4, 5], "7": [5]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [4, 5], "5": [6, 9], "6": [3, 4, 6, 7, 8], "7": [10, 11, 12, 13, 14, 9]}
"81422016"	"CC1C(C(C1N)C(C)C)C2=CC=CC=C2"	{"1": "CC", "2": "CN", "3": "CC", "4": "CC", "5": "CC", "6": "CC", "7": "C1CCC1", "8": "C1=CC=CC=C1", "9": "C"}	{"1": [7], "2": [7], "3": [7, 9], "4": [9], "5": [9], "6": [7, 8], "7": [1, 2, 3, 6], "8": [6], "9": [3, 4, 5]}	{"1": [0, 1], "2": [4, 5], "3": [3, 6], "4": [6, 7], "5": [6, 8], "6": [2, 9], "7": [1, 4, 3, 2], "8": [10, 11, 12, 13, 14, 9], "9": [6]}
"130706470"	"C=CC(C1=C(C=CC(=C1F)Cl)F)N"	{"1": "C=C", "2": "CC", "3": "CC", "4": "CF", "5": "CCl", "6": "CF", "7": "CN", "8": "C1=CC=CC=C1", "9": "C"}	{"1": [2], "2": [1, 9], "3": [8, 9], "4": [8], "5": [8], "6": [8], "7": [9], "8": [3, 4, 5, 6], "9": [2, 3, 7]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [8, 9], "5": [7, 10], "6": [4, 11], "7": [2, 12], "8": [3, 8, 7, 6, 5, 4], "9": [2]}
"102256907"	"CC(C)C(CC#N)OCC1=CC=CC=C1"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "C#N", "7": "CO", "8": "CO", "9": "CC", "10": "C1=CC=CC=C1", "11": "C", "12": "C"}	{"1": [11], "2": [11], "3": [11, 12], "4": [5, 12], "5": [4, 6], "6": [5], "7": [8, 12], "8": [7, 9], "9": [8, 10], "10": [9], "11": [1, 2, 3], "12": [3, 4, 7]}	{"1": [0, 1], "2": [1, 2], "3": [1, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [3, 7], "8": [7, 8], "9": [8, 9], "10": [9, 14, 13, 12, 11, 10], "11": [1], "12": [3]}
"20872011"	"CC1CCN(CC1)C2=CC=CC=C2C=O"	{"1": "CC", "2": "CN", "3": "CC", "4": "C=O", "5": "C1CCNCC1", "6": "C1=CC=CC=C1"}	{"1": [5], "2": [5, 6], "3": [4, 6], "4": [3], "5": [1, 2], "6": [2, 3]}	{"1": [0, 1], "2": [4, 7], "3": [12, 13], "4": [13, 14], "5": [1, 6, 5, 4, 3, 2], "6": [8, 9, 10, 11, 12, 7]}
"124510056"	"C1CC(CNC1)C2=NC3=NC=NC=C3N2"	{"1": "C1CCNCC1", "2": "CC", "3": "C1=NCCN1", "4": "C1=CN=CN=C1"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3]}	{"1": [0, 5, 4, 3, 2, 1], "2": [2, 6], "3": [7, 6, 14, 13, 8], "4": [9, 10, 11, 12, 13, 8]}
