frag_id,fragment,count
687,928,4953
688,887,4936
689,523,4929
690,957,4909
691,858,4852
692,898,4851
693,933,4850
694,734,4821
695,890,4758
696,900,4750
697,868,4746
698,753,4745
699,645,4735
700,813,4677
701,959,4652
702,872,4647
703,836,4634
704,877,4626
705,953,4620
706,845,4617
707,837,4617
708,616,4597
709,929,4566
710,830,4564
711,778,4560
712,802,4549
713,886,4540
714,528,4539
715,894,4527
716,770,4512
717,402,4504
718,561,4504
719,797,4492
720,848,4441
721,684,4426
722,584,4387
723,853,4378
724,709,4374
725,842,4372
726,1014,4368
727,971,4362
728,1034,4353
729,720,4349
730,943,4336
731,597,4335
732,982,4324
733,875,4322
734,781,4313
735,904,4311
736,796,4310
737,1029,4309
738,678,4299
739,980,4274
740,1018,4257
741,847,4255
742,752,4235
743,805,4222
744,780,4197
745,873,4196
746,619,4172
747,869,4170
748,908,4153
749,911,4149
750,871,4140
751,838,4131
752,951,4131
753,874,4130
754,1033,4128
755,860,4117
756,742,4115
757,944,4102
758,1082,4090
759,834,4087
760,809,4085
761,1050,4043
762,1000,4008
763,681,4000
764,764,3986
765,843,3979
766,927,3953
767,882,3918
768,822,3912
769,841,3911
770,952,3905
771,1039,3890
772,635,3888
773,926,3866
774,1028,3864
775,527,3861
776,870,3849
777,895,3849
778,962,3830
779,1096,3814
780,863,3810
781,993,3798
782,1070,3786
783,963,3780
784,936,3774
785,519,3753
786,1008,3746
787,1098,3732
788,1095,3717
789,806,3705
790,881,3704
791,668,3686
792,1093,3682
793,978,3663
794,852,3646
795,915,3644
796,1004,3642
797,1021,3639
798,934,3619
799,1042,3613
800,739,3606
801,1149,3599
802,1045,3597
803,1109,3580
804,846,3572
805,922,3567
806,920,3566
807,700,3564
808,1154,3563
809,811,3561
810,643,3560
811,910,3560
812,1141,3550
813,958,3531
814,1037,3528
815,918,3525
816,921,3506
817,909,3492
818,964,3488
819,1088,3487
820,1118,3486
821,1107,3476
822,1113,3472
823,512,3469
824,995,3465
825,967,3450
826,724,3442
827,902,3430
828,880,3418
829,981,3411
830,611,3367
831,999,3366
832,1214,3356
833,885,3345
834,1002,3339
835,896,3339
836,1032,3329
837,1182,3312
838,1140,3312
839,702,3307
840,1022,3275
841,1072,3269
842,789,3264
843,965,3249
844,1030,3248
845,864,3223
846,1092,3223
847,1205,3204
848,1226,3202
849,1065,3197
850,774,3189
851,1101,3183
852,1128,3144
853,812,3131
854,996,3115
855,876,3112
856,1130,3107
857,1056,3104
858,1174,3095
859,1077,3091
860,1172,3090
861,973,3089
862,1067,3082
863,938,3072
864,1017,3060
865,831,3058
866,1079,3053
867,814,3050
868,907,3047
869,1200,3044
870,1120,3043
871,1060,3037
872,1159,3022
873,1185,3016
874,1073,3014
875,1125,2990
876,1240,2977
877,1228,2965
878,1176,2955
879,795,2947
880,1155,2942
881,844,2940
882,1196,2937
883,1106,2935
884,966,2935
885,1040,2932
886,975,2918
887,950,2910
888,1273,2910
889,1239,2899
890,1146,2878
891,1144,2875
892,1122,2874
893,1325,2870
894,945,2863
895,924,2862
896,1023,2861
897,925,2860
898,1131,2853
899,1249,2846
900,861,2841
901,1099,2841
902,917,2839
903,759,2835
904,1187,2835
905,1025,2832
906,1139,2825
907,1126,2814
908,1134,2813
909,833,2794
910,1320,2793
911,1009,2785
912,1055,2776
913,977,2772
914,1173,2770
915,884,2766
916,738,2757
917,1271,2752
918,912,2741
919,1331,2728
920,1219,2727
921,1275,2723
922,1044,2685
923,1111,2683
924,1133,2682
925,1165,2681
926,1138,2681
927,1058,2678
928,862,2664
929,1235,2655
930,903,2638
931,690,2631
932,1308,2607
933,1392,2604
934,859,2603
935,1007,2601
936,1290,2599
937,1202,2586
938,1268,2583
939,828,2570
940,1321,2550
941,1369,2548
942,1396,2532
943,1327,2529
944,1360,2527
945,1086,2527
946,1127,2524
947,1460,2524
948,1332,2506
949,1167,2504
950,821,2501
951,1406,2500
952,1389,2496
953,1166,2493
954,1041,2490
955,1426,2466
956,1116,2466
957,1153,2460
958,1419,2458
959,1365,2452
960,1010,2448
961,839,2446
962,1348,2445
963,1317,2438
964,1001,2434
965,1439,2422
966,1362,2416
967,939,2413
968,1076,2406
969,1383,2398
970,1395,2397
971,979,2396
972,1145,2387
973,1319,2362
974,1279,2359
975,901,2354
976,1295,2335
977,1081,2335
978,946,2334
979,1031,2322
980,582,2321
981,1350,2319
982,1027,2317
983,1301,2309
984,1222,2306
985,1328,2305
986,1085,2299
987,1424,2297
988,1181,2296
989,1132,2296
990,1036,2292
991,1198,2292
992,1197,2291
993,1421,2288
994,1019,2287
995,1213,2285
996,1289,2285
997,1191,2277
998,1518,2274
999,1062,2270
1000,1217,2264
1001,1142,2258
1002,1401,2250
1003,1416,2246
1004,1016,2245
1005,1391,2244
1006,1491,2231
1007,941,2227
1008,1425,2210
1009,1489,2208
1010,1300,2202
1011,1422,2196
1012,1302,2192
1013,889,2186
1014,1229,2182
1015,1347,2182
1016,1504,2176
1017,855,2166
1018,1454,2161
1019,1115,2159
1020,1066,2156
1021,1103,2148
1022,1151,2141
1023,1341,2127
1024,1403,2126
1025,1458,2120
1026,784,2119
1027,1412,2114
1028,1123,2111
1029,1038,2108
1030,1429,2106
1031,883,2104
1032,1203,2102
1033,1499,2101
1034,699,2099
1035,1414,2099
1036,1373,2096
1037,1064,2092
1038,1427,2078
1039,1511,2077
1040,1555,2072
1041,1590,2071
1042,932,2067
1043,1376,2067
1044,1432,2058
1045,1642,2047
1046,989,2045
1047,1503,2041
1048,867,2041
1049,1163,2036
1050,1212,2028
1051,1399,2018
1052,1270,2008
1053,1078,2002
1054,1607,1992
1055,1267,1987
1056,1431,1981
1057,1440,1975
1058,1441,1967
1059,1418,1962
1060,1090,1961
1061,1469,1954
1062,1625,1952
1063,1357,1951
1064,1170,1938
1065,1493,1937
1066,1437,1932
1067,1494,1910
1068,1686,1909
1069,1276,1905
1070,1485,1905
1071,1336,1904
1072,1556,1903
1073,1381,1903
1074,987,1893
1075,1157,1892
1076,897,1891
1077,1497,1891
1078,1011,1883
1079,976,1881
1080,1553,1881
1081,1620,1876
1082,1455,1869
1083,1262,1861
1084,1540,1861
1085,1150,1850
1086,892,1838
1087,1636,1838
1088,992,1838
1089,1449,1838
1090,1208,1837
1091,1282,1834
1092,1371,1824
1093,1084,1824
1094,1512,1824
1095,1483,1820
1096,1627,1811
1097,1527,1802
1098,1588,1797
1099,1585,1794
1100,1124,1790
1101,1646,1790
1102,1616,1790
1103,1608,1789
1104,1361,1787
1105,1492,1784
1106,1704,1780
1107,1648,1766
1108,1156,1760
1109,1589,1755
1110,1355,1752
1111,1638,1750
1112,1466,1749
1113,1236,1746
1114,988,1746
1115,1136,1736
1116,1803,1732
1117,1618,1732
1118,1234,1731
1119,1644,1731
1120,1265,1726
1121,1528,1720
1122,1104,1718
1123,1732,1709
1124,1577,1708
1125,1738,1708
1126,1535,1704
1127,1344,1700
1128,1377,1697
1129,1193,1697
1130,1545,1692
1131,1606,1692
1132,1299,1691
1133,1245,1680
1134,1244,1680
1135,1114,1678
1136,1184,1675
1137,1264,1674
1138,1548,1672
1139,1385,1672
1140,1254,1662
1141,1593,1656
1142,1410,1655
1143,1601,1651
1144,1464,1647
1145,1662,1644
1146,1307,1643
1147,1221,1643
1148,1843,1642
1149,1713,1642
1150,1561,1641
1151,1394,1630
1152,1640,1629
1153,1669,1627
1154,935,1625
1155,1612,1622
1156,1734,1622
1157,1296,1620
1158,1842,1617
1159,1870,1614
1160,1631,1612
1161,1566,1611
1162,1690,1611
1163,1647,1608
1164,1810,1608
1165,1207,1607
1166,960,1598
1167,1387,1596
1168,1507,1595
1169,1655,1588
1170,1860,1587
1171,1729,1587
1172,1168,1586
1173,1227,1585
1174,1564,1583
1175,1705,1577
1176,1652,1572
1177,1725,1565
1178,1178,1564
1179,1496,1556
1180,1844,1556
1181,788,1551
1182,1681,1551
1183,1502,1550
1184,1304,1548
1185,1787,1545
1186,1711,1543
1187,1628,1534
1188,1272,1527
1189,1283,1526
1190,1053,1526
1191,1339,1520
1192,1811,1520
1193,1415,1517
1194,1617,1517
1195,1635,1515
1196,983,1512
1197,1260,1511
1198,1230,1510
1199,997,1510
1200,1913,1496
1201,1390,1496
