CID,inchikey,kingdom,superclass,class
19123419,CJYOBXHRIXPYOK-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Neoflavonoids
83874858,RCDSRIXGDOHMDE-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
97610315,GYMKWJSYYVWGRY-GFCCVEGCSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
58113632,DOGUUORCTKEISY-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Arylnaphthalene lignans
18313759,ICJPYPMHEQMIQF-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
64680191,JLSPXPJMKZYHCI-OWOJBTEDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
57564925,LUFBIKRIXHAKML-UHFFFAOYSA-N,Organic compounds,Hydrocarbons,Polycyclic hydrocarbons
108203669,OBZWBLUFDLMGST-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
14366502,OVHSSFYETUBJMQ-MBALSZOMSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
131812524,UFCRFRXDOVJPQB-OIVUAWODSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
56788449,YCRMKBWIRKNFQR-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
54614818,XEPWKRSQLBTXFU-JTNFPWQOSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolactams
60751899,GMHLLTAJTFUCPI-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
89336023,FZBBPIWGGNJNFD-SSDOTTSWSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
20775991,IMHDQGFNDQHMIZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
62437032,CSVKUWKGIWDXJA-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
2464592,OCSUDBBGMTXIEF-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
10908414,LPGXUYMYRDMAFA-RSGFCBGISA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
76666303,RNRVKDMQVHUUSA-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
946363,DSILGJDQPQVLKS-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Aurone flavonoids
1647085,FQKKGIOWHALIQZ-UQNIYPKTSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
80640450,WKIBYORPBSDJON-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
9832765,QLRWPNNNZYGUMC-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
101103368,GLCYTXYLCYSHTA-HMDSFDFTSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
3589076,LJBZXGGLARKEEL-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
69649428,GZCVTTDIKBWVNM-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
23722941,GGVSETTYSYGDNC-NTXHKPOFSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
72549994,ZHFZCCGNEACZOS-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
64555245,STCNTNXNEYYSPR-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
114490573,QRQLQGSXLJSCJI-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
111510404,XJRHHMCMHZUCRV-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfonyls
18649470,HTMRVZFZWGFEOT-XVMARJQXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
102224312,BTBXOCTWVHLUPB-ATFHBJSOSA-N,Organic compounds,Phenylpropanoids and polyketides,Aurone flavonoids
4801122,IQJCZSQRUGFBRN-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
131816719,ZRCNJJYDJZACHV-XKJQNMSGSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
87114435,GAACNORCQGYTMS-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
131775880,QUIUPPCUGKZHPW-GGCSAXROSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
71701635,LHRSIONHTQAERX-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
66884862,MPRJYNNITOOTND-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
69355241,DBJIBMSXJVITLI-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
3366800,TUJOSETWVWQPDO-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
21082911,XRGRRROZNVDWSZ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
102144842,OOAYNEVPYYMJRF-BOOUZEKWSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
87230548,ZVXJVYZQBKGKQS-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
93497905,HZICUOYGJFWSRG-HTQZYQBOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
88187554,NBAHIKRKYQMKMB-SOFGYWHQSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
39159395,DLOOCEZUTRORSU-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
11525070,QIANUNLWNAIYEU-OWOZJDLPSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
59413157,VXJQZABRZDUYAL-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Arylnaphthalene lignans
110824061,AEYZPFALLIWOCG-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
25239116,BWQWOKRMJBHYLC-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
66753112,OOHHHCCUQUAHSF-LBAUFKAWSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
81609517,AAXXBVILZUAYIZ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
97231222,BIXIQXRRBNNIFX-GOSISDBHSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
58577499,AEPBNFSKRWMCDO-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
57548907,QVTJYXZFKLYRDX-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Arylnaphthalene lignans
57152397,KCSXMXLAHKDOPE-CMQOOJTCSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
59420057,HWDONKDNTZAQRH-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
66824034,IBUVCQCTNVYHIP-YZYGHUOFSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
6652444,FCFRDVOQZPGMNW-LBTRBUIESA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
107664736,KBDOUCOKOYTJAK-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
17752184,ACQZDPFYFKJNJQ-PCIVXFBTSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
57125150,MDNXISSDZMUNCF-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
101219157,RPQTUGURKSFZTM-MHMJNRRMSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
70145523,DJXGKKAUVKZPOK-OYIPCQPOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
2455508,AVMGLHIAHUGDSM-HNNXBMFYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
45266783,QLIUTTKWFPAPOF-BUMMBSEUSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
55263141,UGAMFJHINKFYEZ-SSDOTTSWSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
114477237,SWIZQBYEFXCKJK-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
55933828,QFYJMMNADOFCDT-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
59787837,CJGVZUQEIDFEQQ-UZZZDYDTSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues
19172325,KQLRZVYUDNOKER-MDWZMJQESA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
10231514,NSHPHVOCRCABHS-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
131762320,QBEJVANDCVSYGE-ZKIJAYIWSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
51461050,CSZJPPHABIOBLY-NKOJSYJKSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
22233891,HUKORDWQSCETTA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
69032765,WXHDCQWAYSPCAG-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
101335341,VSTPPMBHXLOLBS-ZZDOROOASA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
52951062,WYAJXDPGMKXIMY-YJJICLFVSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
43337255,XIDPXPWQSBTADF-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
104612928,QPEXTZVDEFLKQV-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
89710096,YAWOHFBWEQOMBS-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
66193089,RKPZFTJZOYYDOJ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
15979872,ODHWMKJXRXBPRZ-URLNOUCSSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
106281739,QMAPIPIXBASVQO-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
91166132,WXGPEHKQAKSQBQ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
105407430,PHQHLBHNDMMULB-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
23281396,VQNPCPSXEKKHMC-BUNCFRFWSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
89255353,WZNGXFDLNDSBLU-UHFFFAOYSA-N,Organic compounds,Organohalogen compounds,Organofluorides
43293514,PQLQCDCWYSXZHS-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
102296812,YGNHEMQWSDUKOT-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
131763578,XBIQXTQHPXNXDZ-URJBCGBDSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
22526459,KOJZATLYEIVDHL-UHFFFAOYSA-N,Organic compounds,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds"
11387373,UYKDSLUGHUPFPH-GZTJUZNOSA-N,Organic compounds,Organosulfur compounds,Thioethers
70923703,GTLFLYIVEFLAOP-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
6732713,GABMKFQGVOQDMF-ZGRNHRAQSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
46842936,YPDQTUBJIVHIMH-IDFWJJGCSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
98066636,UIKGMAVBMVPGNF-QHDYCIAZSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
114705767,GFAHUKUTFMTCNO-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
105910321,BJJHWRHCSUJXNR-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
59080771,BNWIYXQSMAOSHG-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Arylnaphthalene lignans
82754734,JPSXUVGCUOMDFW-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
81030672,DHDJSNLZPVWKMX-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
81604601,LQOHJKBKJUHXFT-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
105776636,OFOWSNXOUSMDJS-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfonyls
89864493,FTFMITCRRGJDNA-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
62739974,SSONPAMVGDLYAQ-UHFFFAOYSA-N,Organic compounds,Alkaloids and derivatives,Tropane alkaloids
10533797,LWQJVURSXMGKED-GDDLPRHGSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
23287986,WRWBQZSFNLDXEG-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids
98650420,ZTZQBWCQGCBWND-OPZNNWONSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
57329464,CEMACDJUDPLELS-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfonyls
71708994,HFOZTVOPBGQAQD-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
59815326,VQIBFNUGSUDTEW-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
5831887,NNSPKYSPPORQJJ-HPNDGRJYSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids
79981268,CRMWDYWBDYPAJU-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
25052099,PQTPISANCLYARB-SZAHLOSFSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
21339603,GJLANBVNBYRCGP-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
63308525,NNYHSEMJBADMKP-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
44611726,KMRCGPSUZRGVOV-HGZOWQQDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
90945453,MNCGKVPTAFDMAN-QLUHYUTMSA-N,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues
101473006,RUGIKGZWSAHPKE-NXEZZACHSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
55278775,VUTOQTMWBJRCQR-SNVBAGLBSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
73994813,OVMGDBGKKIIJRU-UYVALTIASA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
106381870,BUDOKIDNBFTAOL-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
21811431,AIUCLWSTHALHLL-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
5321591,RJHLDNGQIHCVST-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives
55084238,CJDIISWZASZUPD-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
89012246,QOBRFNPDRTZFJA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
81934945,DIABTPQUEBJICZ-UHFFFAOYSA-N,Organic compounds,Organohalogen compounds,Alkyl halides
69204186,HQSYZIJCJMOEPE-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
53720325,CGVLVOOFCGWBCS-HTOAHKCRSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
58573710,VRURULNDNOWMGE-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
10324990,UAFRRXZZFZVSHX-ZYSDIQSLSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
79223551,HFZPQUFGXIBXFZ-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
87878114,ZEEMIVLDVFVMIC-SPUZQDLCSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives
56520113,HMSFPFRTGMNCMP-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioethers
53906618,IAVHKEFSHCGYNY-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
90100235,XARCDOQIMNKYTQ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones
58472501,XSOGUJUMUONIFQ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids
