fragment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
C1=CON=C1,0.13421704,0.49437037,-1.6803849,-1.5448054,0.2334736,-0.4089411,0.015146571,-1.638801,-0.48841113,-1.7184521,1.9263831,-0.5602201,-1.3081838,-1.3386587,-1.0728059,0.11810903,0.28960153,-1.1819576,1.3757665,0.034906816,0.17904255,-0.6728298,1.6104904,-0.5441256,-1.6435905,-0.9891989,0.013390191,0.35066882,0.30461365,-1.4088235
C1=C[NH]C=N1,-0.1024859,-1.3503886,-1.4446949,-1.5895556,0.046667673,0.090820394,-1.3894985,-1.2451079,-1.2752582,-1.7435784,2.473947,0.00980043,-1.456528,-1.4485391,-1.0029768,1.1011841,-0.40138787,0.0010687475,2.0396814,0.5048761,0.43044576,0.33266345,1.5647657,1.0826925,0.93330884,0.06736077,0.82895595,1.4624051,-1.6180831,-1.5657253
C1=CNCNC1,3.0628133,0.033736262,-1.159511,-0.23540172,0.8664059,-0.40234062,0.2106528,-1.2602394,-1.2441162,-1.7518151,-0.4367971,-0.6878322,-1.3393033,-0.33424833,0.15277286,-0.94515646,0.23496895,0.1756167,2.7028565,-1.3255221,-0.068654485,0.8564197,1.2429873,3.5901878,2.5947218,1.7673085,0.9911021,-1.2812797,-1.6942139,-1.3999997
C1=NN=C[NH]1,0.7577452,-1.6201272,-1.2292527,-1.4097782,-0.07828204,1.410213,-0.5002608,-1.5483643,-1.495168,-1.7530088,3.0641136,-1.3482094,-1.4438928,-1.4334309,-1.3577901,2.0175076,1.515389,0.16900146,2.6808877,3.2189846,0.30586746,0.2836464,1.9264324,-0.082972586,2.3900628,0.09536428,1.1177021,0.38490447,-1.5687258,-1.6190884
C1=CN=CNC1,1.7713748,-0.94199485,-1.6450155,-1.3192434,0.38877797,0.6147348,-1.0304875,-1.2391788,-1.3669629,-1.5583761,1.7704692,-1.1571116,-1.5420084,-1.3903886,2.2066154,-0.6565146,0.6162054,-0.221689,2.2334456,-0.9795948,-0.023064578,0.093866184,1.6611192,3.2840376,1.5351406,-0.3733781,0.29659224,-1.1635884,-1.7035286,-0.7126529
C1CCCCC1,1.1317211,-0.6537579,-0.21320376,-1.4046375,-0.19985236,0.17336105,-1.6079339,-1.4328591,0.77634054,-1.3623289,-0.24635111,1.8766993,-1.6312703,-1.0323763,-1.6544926,-1.6868831,-1.0869952,-0.24585031,2.9409862,-1.7365776,0.5245312,0.1487179,1.0558814,1.639201,-1.4273763,4.653655,0.6921167,1.9528651,-0.86330754,-1.2457955
C1CCCC1,2.020608,-0.8129466,0.3479625,-1.2218969,0.45473334,0.46750638,-1.5262122,-1.1855327,1.0609838,-1.4906429,-0.7321091,2.5764346,-1.6379864,-1.2779291,-1.6281041,-1.7096088,-0.9514486,-0.26334473,2.9024386,-1.7348925,0.5342214,0.28528404,1.323526,1.9217567,-1.4625487,4.481169,0.4444119,1.4652292,-0.9782705,-1.1786385
CBr,0.0709334,-1.4126639,0.27968767,-1.5651428,0.20953281,0.1405214,0.043058172,-1.5642164,-1.3673983,-1.2234746,1.9505972,0.6026081,-1.5626222,-1.5555758,-1.5219909,-1.6721398,-0.9311669,0.42922965,2.1790226,-1.590398,3.6247396,-1.4770039,1.6362369,2.038456,-0.8551066,-0.39635056,0.9768464,0.9418646,-0.4411954,-1.2363765
C1=N[NH]C=N1,1.3717432,-1.6322635,-1.066304,-1.2870563,0.07052927,1.0864706,0.7009236,-1.630238,-1.401288,-1.7563694,3.320995,0.13675511,-0.8536012,-1.4080118,-1.6652606,2.3948727,2.1735425,0.20383425,3.1222699,3.655729,0.19573586,-0.00747662,1.5717437,-0.64255756,2.988631,0.3184904,1.2722489,0.49743542,-1.6242884,-1.6797512
C1=NCCN1,0.23063803,-1.3413243,0.5864244,-1.2838285,-0.5213558,0.8449493,-1.1597328,-0.6419455,-1.1351413,-1.7500569,2.7521026,-0.33959436,-1.6508266,-1.1777433,-1.1689835,0.74403816,0.46241102,0.82448673,2.4918828,0.817441,0.16218784,0.672441,1.6371821,0.66541755,1.1449683,0.68963385,1.5313805,0.8305936,-1.3856587,-1.5952666
C1CCOC1,1.6042004,2.5057762,0.9850596,-0.6482987,0.360265,-0.4133821,-1.1621827,-1.5989654,0.9389109,-1.6483439,0.06576353,2.907546,-1.634573,-1.4440211,-1.6125146,-1.7068633,0.24365266,-1.0643338,1.7522545,-1.561923,0.27619293,-0.7932825,-1.1624681,0.746931,-1.729663,3.4632745,1.8967748,-1.1398213,0.3662704,-0.9761558
C1=NOC=N1,-1.1815805,0.13846257,-1.265295,-0.9956724,-0.10292781,-0.30844474,1.194508,-1.5834881,-0.954099,-1.7550852,2.2442644,-0.6664014,-1.48709,-1.6281215,-1.0301205,1.3016988,0.68958277,-1.4433532,1.4037899,2.6568043,-0.12366058,-0.7758621,1.3447816,-0.35352904,-1.4652977,0.0748936,0.86133367,-0.43081442,-0.1775778,-1.6254439
C1=CNCC1,1.3716017,-0.73699397,-0.60200036,-1.5999856,0.24976295,-1.0121416,-1.335752,1.6211116,-1.2282232,-1.6921902,1.8974428,1.5788817,-1.6877835,-1.2948214,-1.4455239,-1.4500061,-1.1290556,-0.79657125,2.5940099,-1.5917522,0.86652654,0.58449244,0.5507068,1.2999567,-1.3762004,-0.2436541,3.3612523,0.9708001,-1.3033861,-0.9530631
C1=CCNN=C1,1.9418062,-1.5807743,-1.5614345,-1.0541475,-0.38501492,-0.3607248,1.7474375,-0.8656714,-1.3488834,-1.7216597,2.8498492,-0.062200725,-0.98803294,-1.0836812,-1.552921,0.20864645,0.74795234,-0.56746507,3.184679,-0.075187564,0.024844835,0.6805032,2.0169227,2.8359272,1.9932287,0.20589365,1.678223,0.2734029,-1.5998251,-1.6787319
C=C,-1.4651618,-1.2776238,-1.352828,-1.64496,2.7207139,1.2158493,-0.46234953,-1.378738,-1.1012803,-1.2413768,5.084692,1.8017281,0.11461812,0.12770806,-0.72194666,-1.7073804,0.06216926,3.6220505,3.591972,-1.688581,1.1591095,-1.1354704,1.8573389,3.8073382,0.17451866,-1.15916,0.79189134,-1.4469581,-0.36153987,-0.08429494
C1=CCCC=C1,-1.4325181,-0.8966797,-1.3436737,-1.6519827,0.13555382,-0.35193557,-1.5794731,0.5671801,-0.054046527,-1.6736141,2.6869042,-0.3000444,-1.5899743,0.26384348,-1.1377362,-1.4575583,-1.5716418,0.65030134,1.5140818,-1.7041094,0.59194684,0.6420555,1.5265766,2.1514587,-1.3361669,0.08254715,-0.0833054,1.4954082,0.11907781,-1.3542917
C1=CNCN=C1,0.1299655,-1.3099571,-1.327445,-1.4541236,1.0058359,-0.90741223,0.9576148,-0.9582837,0.058325667,-1.7485338,2.3109002,0.46664864,-1.2577353,-1.3280598,0.3014437,0.5676835,-0.64804876,0.13843256,1.3746204,-0.9793251,-0.032807615,-0.36582372,0.5128324,0.9342823,1.6149862,0.47894529,0.097053,0.28979272,-1.735181,-1.5202967
C1=CCNCC1,3.842108,-1.1415508,-0.41393572,-0.36416802,-0.013227963,0.34731498,-1.3418192,-1.4451649,-0.38618565,-1.7366904,-1.0484904,0.3254837,-1.5720707,-1.0331569,-1.5885416,-1.6811917,-0.7527518,-0.9260992,3.7502327,-1.479115,0.3012847,0.860209,2.4291165,3.9913297,0.25186643,3.5283601,0.5694993,0.19591223,-1.0349736,-0.8502283
C1CCOCC1,1.9168508,2.4201543,1.0047374,-1.0115236,0.18143329,0.037324227,-0.68191016,-1.5044926,1.0066111,-1.6761515,-0.43582758,3.5381696,-1.6096298,-1.381292,-1.6652731,-1.7016573,-0.4036703,-0.93668234,2.0548353,-1.642824,0.08199657,-0.5996521,-0.14305381,0.7154844,-1.6976355,3.0278704,1.1655849,-0.79925495,0.50520724,-0.90858746
C1=C[NH]N=N1,2.1166065,-1.6009779,0.46613982,-1.3927217,-1.0892224,1.6225281,1.2185028,-1.458523,-1.0914917,-1.7553992,3.3297207,0.48774216,-1.1682633,-1.2901394,-1.7398573,1.62326,1.1723696,-0.01548956,2.7393186,3.9732454,0.022932466,0.6280421,1.233312,-0.852136,2.082146,-0.97236073,0.34367615,1.2282908,-0.8515476,-1.6364517
C1=NN=CS1,0.6547124,-1.616941,-1.4642344,-1.457217,-0.92192864,3.1198883,1.334295,-1.7468145,1.5545039,-1.7424828,2.4755797,0.4902869,-0.9358197,-1.3770618,-1.4499103,1.0056059,0.59217566,-0.39960378,1.8891926,1.1983659,0.07247648,-1.1113199,3.240792,0.30691114,1.6490641,0.9765434,-1.7214317,1.5980822,-0.9982696,-1.6844857
C1=NN=N[NH]1,1.035001,-1.6279559,0.2077085,-0.9866996,-0.6197775,1.7788752,2.8267472,-1.7403361,-1.5927374,-1.7576329,3.0702085,-0.4987667,-0.9549163,-1.4359024,-1.6521759,2.9894202,3.561215,-0.20240715,2.6912286,5.619499,0.2139205,-0.3412163,0.9825285,-1.131364,4.062228,0.7568919,0.6506299,0.08336347,-0.99122536,-1.7124935
