fragment,frag_id,count,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,class,class_num,class_id
C1=NNCC1,58,54963,2,0,0,0,1,0,0,1,10001001,123,27
C1COCO1,59,53201,0,0,2,0,0,0,0,1,00100001,29,8
C1=CN=CC=N1,60,49701,2,0,0,0,0,0,1,0,10000010,21,24
C1=COCC1,61,48142,0,0,1,0,1,0,0,1,00101001,26,11
C1CNCCNC1,62,46134,2,0,0,0,0,0,0,1,10000001,63,23
C1=NNCN1,63,45563,3,0,0,0,1,0,0,1,10001001,123,27
C1CCCNCC1,64,45515,1,0,0,0,0,0,0,1,10000001,63,23
C1=CSCN1,65,42748,1,1,0,0,1,0,0,1,11001001,59,37
C1=NNCCC1,66,42620,2,0,0,0,1,0,0,1,10001001,123,27
C1=CCOCC1,67,41772,0,0,1,0,1,0,0,1,00101001,26,11
C1COCN1,68,40530,1,0,1,0,0,0,0,1,10100001,33,30
C1COCCO1,69,37395,0,0,2,0,0,0,0,1,00100001,29,8
C1=NCCS1,70,34211,1,1,0,0,1,0,0,1,11001001,59,37
C1=CCCN=C1,71,33245,1,0,0,0,2,0,0,1,10001001,123,27
C1=CCCC1,72,31336,0,0,0,0,1,0,0,1,00001001,28,5
C1CNC1,73,30474,1,0,0,0,0,0,0,1,10000001,63,23
C1=CSCC1,74,29787,0,1,0,0,1,0,0,1,01001001,12,17
NN,75,27259,2,0,0,0,0,0,0,0,10000000,3,22
C1CNSC1,76,24732,1,1,0,0,0,0,0,1,11000001,24,34
C1=CNC=CC1,77,23638,1,0,0,0,2,0,0,1,10001001,123,27
C1CSCCN1,78,20830,1,1,0,0,0,0,0,1,11000001,24,34
C1=COCCC1,79,20718,0,0,1,0,1,0,0,1,00101001,26,11
C1=CN=NC=C1,80,20244,2,0,0,0,0,0,1,0,10000010,21,24
C=N,81,18627,1,0,0,0,1,0,0,0,10001000,1,26
OS,82,18355,0,1,1,0,0,0,0,0,01100000,1,18
C1=NCCNC1,83,16521,2,0,0,0,1,0,0,1,10001001,123,27
C1=CN=CCC1,84,16330,1,0,0,0,2,0,0,1,10001001,123,27
C1=NCCO1,85,14993,1,0,1,0,1,0,0,1,10101001,33,32
C1=NC=NCC1,86,14496,2,0,0,0,2,0,0,1,10001001,123,27
C1CNCCOC1,87,14400,1,0,1,0,0,0,0,1,10100001,33,30
C1=CSN=C1,88,14225,1,1,0,0,0,0,1,0,11000010,7,35
C1=NNCS1,89,13801,2,1,0,0,1,0,0,1,11001001,59,37
C1=CSN=N1,90,13743,2,1,0,0,0,0,1,0,11000010,7,35
C1=CNCN1,91,13092,2,0,0,0,1,0,0,1,10001001,123,27
C1CC2CCC1C2,92,13027,0,0,0,0,0,0,0,2,00000001,18,1
C1CSCN1,93,12878,1,1,0,0,0,0,0,1,11000001,24,34
C1=NC=NC=N1,94,12870,3,0,0,0,0,0,1,0,10000010,21,24
C1=CNNC1,95,12275,2,0,0,0,1,0,0,1,10001001,123,27
C1=N[NH]N=N1,96,11679,4,0,0,0,0,0,1,0,10000010,21,24
C1CCCCCC1,97,11556,0,0,0,0,0,0,0,1,00000001,18,1
C1=COC=CC1,98,11219,0,0,1,0,2,0,0,1,00101001,26,11
C1=NOCC1,99,10851,1,0,1,0,1,0,0,1,10101001,33,32
C1=CCOC=C1,100,10688,0,0,1,0,2,0,0,1,00101001,26,11
C1=NCCN=C1,101,10668,2,0,0,0,2,0,0,1,10001001,123,27
C1CNN=N1,102,10515,3,0,0,0,1,0,0,1,10001001,123,27
C1=CNCC=N1,103,10334,2,0,0,0,2,0,0,1,10001001,123,27
C1=N[NH]N=C1,104,9954,3,0,0,0,0,0,1,0,10000010,21,24
C1=CC=NN=C1,105,8813,2,0,0,0,0,0,1,0,10000010,21,24
