fragment,frag_id,count,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,class,class_num,class_id
C1=CC=C1,352,18,0,0,0,0,2,0,0,1,00001001,28,5
C1=CN=CN=CC1,353,18,2,0,0,0,3,0,0,1,10001001,123,27
C1CC2CCC(C2)O1,354,18,0,0,1,0,0,0,0,2,00100001,29,8
C1CCC2CCC(C1)C2,355,17,0,0,0,0,0,0,0,2,00000001,18,1
C1CC2CNCC(C1)NC2,356,17,2,0,0,0,0,0,0,2,10000001,63,23
C1CSNCS1,357,17,1,2,0,0,0,0,0,1,11000001,24,34
C1=CC2C=CC1C2,358,17,0,0,0,0,2,0,0,2,00001001,28,5
C1=CC2CCNC(CC1)C2,359,16,1,0,0,0,1,0,0,2,10001001,123,27
C1=NCOCC1,360,16,1,0,1,0,1,0,0,1,10101001,33,32
C1=CC2CCCC1O2,361,16,0,0,1,0,1,0,0,2,00101001,26,11
C1=NCCN=CC1,362,15,2,0,0,0,2,0,0,1,10001001,123,27
C1C2CC3CC1OC(O2)O3,363,15,0,0,3,0,0,0,0,4,00100001,29,8
C1=CSCCCS1,364,15,0,2,0,0,1,0,0,1,01001001,12,17
C1=NCSC1,365,15,1,1,0,0,1,0,0,1,11001001,59,37
OCl,366,14,0,0,1,1,0,0,0,0,00110000,2,12
C1CC2CNC(C2)N1,367,14,2,0,0,0,0,0,0,2,10000001,63,23
C1=CC2CC(C1)CN2,368,14,1,0,0,0,1,0,0,2,10001001,123,27
C1C2CC3OC1CC3O2,369,14,0,0,2,0,0,0,0,4,00100001,29,8
C1CC2CNC(C2)O1,370,14,1,0,1,0,0,0,0,2,10100001,33,30
C1CCC2C3CCC2C(C1)C3,371,14,0,0,0,0,0,0,0,3,00000001,18,1
C1NCC2COCC1C2,372,13,1,0,1,0,0,0,0,2,10100001,33,30
C1COSN1,373,13,1,1,1,0,0,0,0,1,11100001,3,38
C1CC2OCC3CCC(O1)C2C3,374,13,0,0,2,0,0,0,0,3,00100001,29,8
C1C[SH]=NS1,375,13,1,2,0,0,1,0,0,1,11001001,59,37
C1OC2C3OC4C1C1OC2C3OCC41,376,13,0,0,4,0,0,0,0,6,00100001,29,8
C1=CNSNC1,377,13,2,1,0,0,1,0,0,1,11001001,59,37
C1=NSN=C1,378,13,2,1,0,0,0,0,1,0,11000010,7,35
C=S,379,13,0,1,0,0,1,0,0,0,01001000,1,16
C1C2CC3C1OC1NCC2C13,380,12,1,0,1,0,0,0,0,4,10100001,33,30
C1=CN=CCN=C1,381,12,2,0,0,0,3,0,0,1,10001001,123,27
C1NCN2CNCC1C2,382,12,3,0,0,0,0,0,0,2,10000001,63,23
C1=CNCSC1,383,12,1,1,0,0,1,0,0,1,11001001,59,37
C1CC2CC3CC1CC(C2)C3,384,12,0,0,0,0,0,0,0,4,00000001,18,1
C1=CC=COC=C1,385,12,0,0,1,0,3,0,0,1,00101001,26,11
C1=CC2C=CC1N2,386,12,1,0,0,0,2,0,0,2,10001001,123,27
C1=NSN=CC1,387,12,2,1,0,0,2,0,0,1,11001001,59,37
C1=NCC1,388,11,1,0,0,0,1,0,0,1,10001001,123,27
C1=CSNCCN1,389,11,2,1,0,0,1,0,0,1,11001001,59,37
C1=CCNC=NC1,390,11,2,0,0,0,2,0,0,1,10001001,123,27
C1=C[NH][NH]1,391,11,2,0,0,0,0,0,1,0,10000010,21,24
C1=NNCCCC1,392,11,2,0,0,0,1,0,0,1,10001001,123,27
C1=CCC=NC=C1,393,11,1,0,0,0,3,0,0,1,10001001,123,27
C1=CC2C=CC1O2,394,11,0,0,1,0,2,0,0,2,00101001,26,11
C1=C[SH]=NC=N1,395,10,2,1,0,0,3,0,0,1,11001001,59,37
C1=CCCOC=C1,396,10,0,0,1,0,2,0,0,1,00101001,26,11
C1=NSCCS1,397,10,1,2,0,0,1,0,0,1,11001001,59,37
C1NCN1,398,10,2,0,0,0,0,0,0,1,10000001,63,23
C1=NSNC1,399,10,2,1,0,0,1,0,0,1,11001001,59,37
C1=CSC=CC1,400,10,0,1,0,0,2,0,0,1,01001001,12,17
C1CC2CCNC(C2)N1,401,10,2,0,0,0,0,0,0,2,10000001,63,23
C1CC2CNC(C1)N2,402,10,2,0,0,0,0,0,0,2,10000001,63,23
C1=CSCC=NC1,403,10,1,1,0,0,2,0,0,1,11001001,59,37
C1=NNNC1,404,10,3,0,0,0,1,0,0,1,10001001,123,27
C1OC2OCC1CO2,405,10,0,0,3,0,0,0,0,3,00100001,29,8
C1CSCNCN1,406,10,2,1,0,0,0,0,0,1,11000001,24,34
C1CN2C3CC4CC(C1C3)C2C4,407,9,1,0,0,0,0,0,0,5,10000001,63,23
C1=CSCNN1,408,9,2,1,0,0,1,0,0,1,11001001,59,37
C1CCONC1,409,9,1,0,1,0,0,0,0,1,10100001,33,30
C1CC2CCC(N1)O2,410,9,1,0,1,0,0,0,0,2,10100001,33,30
C1=CC2CCC1CN2,411,9,1,0,0,0,1,0,0,3,10001001,123,27
C1=NSNCC1,412,9,2,1,0,0,1,0,0,1,11001001,59,37
C1=CCC2CC(C=CN2)C1,413,9,1,0,0,0,2,0,0,2,10001001,123,27
C1=NNCNCC1,414,9,3,0,0,0,1,0,0,1,10001001,123,27
C1=COCCN=C1,415,9,1,0,1,0,2,0,0,1,10101001,33,32
C1=CNCN=CC1,416,9,2,0,0,0,2,0,0,1,10001001,123,27
C1NCNSN1,417,9,3,1,0,0,0,0,0,1,11000001,24,34
C1=CSC=CNC1,418,9,1,1,0,0,2,0,0,1,11001001,59,37
C1CC2OC3CC1CC2O3,419,9,0,0,2,0,0,0,0,3,00100001,29,8
C1=CSC=CO1,420,8,0,1,1,0,2,0,0,1,01101001,3,21
C1CC2CC(C1)N2,421,8,1,0,0,0,0,0,0,3,10000001,63,23
C1NCC2CC1C2,422,8,1,0,0,0,0,0,0,3,10000001,63,23
C1=NNCSCC1,423,8,2,1,0,0,1,0,0,1,11001001,59,37
C1=CCSOC1,424,8,0,1,1,0,1,0,0,1,01101001,3,21
C1C2CN3CCN(C2)CC1C3,425,8,2,0,0,0,0,0,0,4,10000001,63,23
C1=CN=CCC=N1,426,8,2,0,0,0,3,0,0,1,10001001,123,27
C1=NCNNC1,427,8,3,0,0,0,1,0,0,1,10001001,123,27
NBr,428,8,1,0,0,1,0,0,0,0,10010000,1,28
C1=CSN=CS1,429,8,1,2,0,0,2,0,0,1,11001001,59,37
C1COSCSO1,430,8,0,2,2,0,0,0,0,1,01100001,7,19
C1CC2CCC(O1)O2,431,8,0,0,2,0,0,0,0,2,00100001,29,8
C1=NC=NCCC1,432,8,2,0,0,0,2,0,0,1,10001001,123,27
C1=NC=N[SH]=N1,433,8,3,1,0,0,3,0,0,1,11001001,59,37
C1=CN=N[SH]=C1,434,8,2,1,0,0,3,0,0,1,11001001,59,37
C1CC2CC(O1)C1OCC2O1,435,8,0,0,3,0,0,0,0,3,00100001,29,8
C1=CNCCC=N1,436,8,2,0,0,0,2,0,0,1,10001001,123,27
C1CCSCNC1,437,8,1,1,0,0,0,0,0,1,11000001,24,34
C1CC2NCC1NN2,438,7,3,0,0,0,0,0,0,3,10000001,63,23
C1=CC2CCC(C2)N1,439,6,1,0,0,0,1,0,0,2,10001001,123,27
C1=CCNNCC1,440,6,2,0,0,0,1,0,0,1,10001001,123,27
C1CC2COCC(C1)C2,441,6,0,0,1,0,0,0,0,2,00100001,29,8
C1=CNCCOC1,442,6,1,0,1,0,1,0,0,1,10101001,33,32
C1CC2CC1NN2,443,6,2,0,0,0,0,0,0,2,10000001,63,23
C1=CCN=CCC1,444,6,1,0,0,0,2,0,0,1,10001001,123,27
C1C2CC1C2,445,6,0,0,0,0,0,0,0,3,00000001,18,1
C1CC2CCC1NN2,446,6,2,0,0,0,0,0,0,3,10000001,63,23
C1=CCN=CC1,447,6,1,0,0,0,2,0,0,1,10001001,123,27
C1=CC2CCCC(C1)N2,448,6,1,0,0,0,1,0,0,2,10001001,123,27
C1CC2CCCC(C1)O2,449,6,0,0,1,0,0,0,0,2,00100001,29,8
C1=NOCCC1,450,6,1,0,1,0,1,0,0,1,10101001,33,32
C1CC2C3NNC2C1O3,451,6,2,0,1,0,0,0,0,3,10100001,33,30
C1=CCOCOC1,452,5,0,0,2,0,1,0,0,1,00101001,26,11
C1=CSCNN=C1,453,5,2,1,0,0,2,0,0,1,11001001,59,37
C1CCC2CCCC(C1)C2,454,5,0,0,0,0,0,0,0,2,00000001,18,1
C1=CC2C=CC(C=C1)C2,455,5,0,0,0,0,3,0,0,2,00001001,28,5
C1CN2C3CC4CC1CC2C4O3,456,5,1,0,1,0,0,0,0,4,10100001,33,30
C1CN2CCC3CC1CC2C3,457,5,1,0,0,0,0,0,0,3,10000001,63,23
C1=CSN=CO1,458,5,1,1,1,0,2,0,0,1,11101001,5,39
C1=NC=NSO1,459,5,2,1,1,0,2,0,0,1,11101001,5,39
C1=COCSN1,460,5,1,1,1,0,1,0,0,1,11101001,5,39
C1COCCSC1,461,5,0,1,1,0,0,0,0,1,01100001,7,19
C1NCS1,462,5,1,1,0,0,0,0,0,1,11000001,24,34
C1=NC=NCCN1,463,5,3,0,0,0,2,0,0,1,10001001,123,27
C1=CC2CC(O1)C1OCC2O1,464,5,0,0,3,0,1,0,0,3,00101001,26,11
C1CC2NC(CCS2)S1,465,5,1,2,0,0,0,0,0,2,11000001,24,34
C1NN=NS1,466,4,3,1,0,0,1,0,0,1,11001001,59,37
C1=CCC2CC(C1)C2,467,4,0,0,0,0,1,0,0,3,00001001,28,5
C1NCC2COCC1CN2,468,4,2,0,1,0,0,0,0,2,10100001,33,30
OBr,469,4,0,0,1,1,0,0,0,0,00110000,2,12
C1CC2COCC(CN1)N2,470,4,2,0,1,0,0,0,0,2,10100001,33,30
C1CC2CCC1CNC2,471,4,1,0,0,0,0,0,0,3,10000001,63,23
C1=CC2CCCN(C1)C2,472,4,1,0,0,0,1,0,0,2,10001001,123,27
C1=CC2COCC(C1)N2,473,4,1,0,1,0,1,0,0,2,10101001,33,32
C1=CC2CCCC1C2,474,4,0,0,0,0,1,0,0,2,00001001,28,5
C1=CONCNN1,475,4,3,0,1,0,1,0,0,1,10101001,33,32
C1CCN=NC1,476,4,2,0,0,0,1,0,0,1,10001001,123,27
C1CC2CNC1CN2,477,4,2,0,0,0,0,0,0,3,10000001,63,23
C1=CO1,478,4,0,0,1,0,1,0,0,1,00101001,26,11
C1=CSCCS1,479,4,0,2,0,0,1,0,0,1,01001001,12,17
C1NC2CC(CO2)O1,480,4,1,0,2,0,0,0,0,2,10100001,33,30
C1=CC2CCC(O1)O2,481,3,0,0,2,0,1,0,0,2,00101001,26,11
C1=CNNCN=C1,482,3,3,0,0,0,2,0,0,1,10001001,123,27
C1=CCOC=CC1,483,3,0,0,1,0,2,0,0,1,00101001,26,11
C1NNCO1,484,3,2,0,1,0,0,0,0,1,10100001,33,30
C1=NCCCSC1,485,3,1,1,0,0,1,0,0,1,11001001,59,37
C1=CNCNN=C1,486,3,3,0,0,0,2,0,0,1,10001001,123,27
C1NCC2OCC1O2,487,3,1,0,2,0,0,0,0,2,10100001,33,30
C1CC2CC(N1)C1COC2O1,488,3,1,0,2,0,0,0,0,3,10100001,33,30
C1=NN=COC1,489,3,2,0,1,0,2,0,0,1,10101001,33,32
C1=NC=NCS1,490,3,2,1,0,0,2,0,0,1,11001001,59,37
C1=CSCCN=C1,491,3,1,1,0,0,2,0,0,1,11001001,59,37
[NH]1[NH][NH]1,492,3,3,0,0,0,0,0,1,0,10000010,21,24
C1CNN1,493,3,2,0,0,0,0,0,0,1,10000001,63,23
C1CCN2CCCC(C1)C2,494,3,1,0,0,0,0,0,0,2,10000001,63,23
C1CC2CCC3CC1NC23,495,3,1,0,0,0,0,0,0,3,10000001,63,23
C1C2CC3CC(CC1O3)N2,496,3,1,0,1,0,0,0,0,4,10100001,33,30
C1CC2CCC(C1)CNC2,497,3,1,0,0,0,0,0,0,2,10000001,63,23
C1CCC2CC(C1)C2,498,3,0,0,0,0,0,0,0,3,00000001,18,1
C1=C2CCCCC1C2,499,3,0,0,0,0,1,0,0,3,00001001,28,5
C1=CC2CCCC1NN2,500,3,2,0,0,0,1,0,0,3,10001001,123,27
C1=CC2CCC(C1)NN2,501,3,2,0,0,0,1,0,0,3,10001001,123,27
C1=CC2CCCC1CC2,502,3,0,0,0,0,1,0,0,3,00001001,28,5
C1=CC2C=CC(C1)CNC2,503,3,1,0,0,0,2,0,0,2,10001001,123,27
C1=CNSN1,504,2,2,1,0,0,1,0,0,1,11001001,59,37
C1CNCNCN1,505,2,3,0,0,0,0,0,0,1,10000001,63,23
C1=COCCC=N1,506,2,1,0,1,0,2,0,0,1,10101001,33,32
C1=NCCNS1,507,2,2,1,0,0,1,0,0,1,11001001,59,37
[NH]1[NH]O1,508,2,2,0,1,0,0,0,1,0,10100010,6,31
C1=CC2CCN3CC1CC23,509,2,1,0,0,0,1,0,0,3,10001001,123,27
C1=NN=NCC1,510,2,3,0,0,0,2,0,0,1,10001001,123,27
C1=CNN=NC1,511,2,3,0,0,0,2,0,0,1,10001001,123,27
C1=CN=CNCC1,512,2,2,0,0,0,2,0,0,1,10001001,123,27
C1=CC2C=CC(C1)CC2,513,2,0,0,0,0,2,0,0,3,00001001,28,5
C1=CSC1,514,2,0,1,0,0,1,0,0,1,01001001,12,17
C1=COC=CO1,515,2,0,0,2,0,2,0,0,1,00101001,26,11
C1CC2CC3CCN2C(C1)C3,516,2,1,0,0,0,0,0,0,4,10000001,63,23
C1C2CN3CN1CN(C2)C3,517,2,3,0,0,0,0,0,0,4,10000001,63,23
C1=CC=C2CCCCC(=C1)C2,518,2,0,0,0,0,3,0,0,2,00001001,28,5
C1CCSOC1,519,2,0,1,1,0,0,0,0,1,01100001,7,19
C1=CSCNNC1,520,2,2,1,0,0,1,0,0,1,11001001,59,37
C1=CC2CC(N1)C1C=CC2C1,521,2,1,0,0,0,2,0,0,3,10001001,123,27
C1=CSCC=N1,522,2,1,1,0,0,2,0,0,1,11001001,59,37
C1CSCCS1,523,2,0,2,0,0,0,0,0,1,01000001,5,14
C1NC2CC(N1)C1OCC2O1,524,1,2,0,2,0,0,0,0,3,10100001,33,30
C1=NC1,525,1,1,0,0,0,1,0,0,1,10001001,123,27
C1=CCC2CC=CC(C1)C2,526,1,0,0,0,0,2,0,0,2,00001001,28,5
C1COC2CC(N1)C1COC2O1,527,1,1,0,3,0,0,0,0,3,10100001,33,30
C1CN2CCN1CC2,528,1,2,0,0,0,0,0,0,3,10000001,63,23
C1CC2CCCN(C1)C2,529,1,1,0,0,0,0,0,0,2,10000001,63,23
C1CC2OC(CCS2)S1,530,1,0,2,1,0,0,0,0,2,01100001,7,19
C1=CCON=C1,531,1,1,0,1,0,2,0,0,1,10101001,33,32
C1CN2CC3OCC2CC13,532,1,1,0,1,0,0,0,0,5,10100001,33,30
